spotify_track_id,songid,performer,song,spotify_track_album,spotify_track_explicit,first_chart_appearance,peak_position,weeks_on_chart
2CtCwQhY0ZLvr8L2l8Bo6e,Stand UpLudacris Featuring Shawnna,Ludacris Featuring Shawnna,Stand Up,Chicken - N - Beer,true,2003-09-06,84,28
7FWuzwapuKHTEyDJIcQOw3,StutterJoe Featuring Mystikal,Joe Featuring Mystikal,Stutter,My Name Is Joe,false,2001-01-06,73,26
275a9yzwGB6ncAW4SxY7q3,PandaDesiigner,Desiigner,Panda,Panda,true,2016-03-12,96,40
4TsmezEQVSZNNPv5RJ65Ov,Pon de ReplayRihanna,Rihanna,Pon de Replay,Music Of The Sun,false,2005-06-11,97,27
6CqTD9nWwf8R1yPVkIVdF5,RaindropsDee Clark,Dee Clark,Raindrops,Hold o,false,1961-04-29,90,16
7zMUCLm1TN9o9JlLISztxO,Burning LoveElvis Presley,Elvis Presley,Burning Love,Elvis (Fool),false,1972-08-19,90,15
0ZFqB9g2FujbmMSrjqsL3j,BenMichael Jackson,Michael Jackson,Ben,Ben,false,1972-08-05,85,16
4ME2YQNThxEW63fxojzHvN,OneThree Dog Night,Three Dog Night,One,One,false,1969-05-03,84,16
0RmEn2jcbyrLV4em3bnDZJ,Damn I Wish I Was Your LoverSophie B. Hawkins,Sophie B. Hawkins,Damn I Wish I Was Your Lover,The Best Of Sophie B. Hawkins,false,1992-04-18,76,21
3qq7parQQaohn9N7qKrKtE,"The EntertainerMarvin Hamlisch/""The Sting""","Marvin Hamlisch/""The Sting""",The Entertainer,The Sting,false,1974-03-23,88,16
0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A.The Beach Boys,The Beach Boys,Surfin' U.S.A.,Surfin' USA (Remastered),false,1962-02-17,93,25
6hazdpTPlt5W2BTCGYKBoj,DeliriousPrince,Prince,Delirious,1999,false,1983-09-03,74,18
6yLIqXX9edg1x0HZS7cZEv,The Air That I BreatheThe Hollies,The Hollies,The Air That I Breathe,Hollies,false,1974-04-20,98,21
2XKW8CH8nRZH9cF2DNjBHN,Day After DayBadfinger,Badfinger,Day After Day,Straight Up (Remastered 2010 / Deluxe Edition),false,1971-12-04,74,14
00oIqmk1eRn9D2y8BzNLS1,Paper RosesMarie Osmond,Marie Osmond,Paper Roses,20th Century Masters: The Millennium Collection: Best of Donny & Marie Osmond,false,1973-09-15,86,16
4ZiDhG5Ift5I6reAEOBBec,Sweet Nothin'sBrenda Lee,Brenda Lee,Sweet Nothin's,Brenda Lee,false,1959-12-19,99,24
5pwqFOPir9wq1QHrIEaXkw,StormyClassics IV Featuring Dennis Yost,Classics IV Featuring Dennis Yost,Stormy,Best Of,false,1968-10-26,80,15
70RPjUR5l0jmBQndfNXP0z,Piano In The DarkBrenda Russell Featuring Joe Esposito,Brenda Russell Featuring Joe Esposito,Piano In The Dark,Get Here,false,1988-02-20,92,25
3STjByGTUmCTxfmWShd7p6,Change Of HeartEric Carmen,Eric Carmen,Change Of Heart,Change Of Heart,false,1978-09-16,83,16
